node_id1,node_id2,speed,type,length
276960692,276960816,70,twoway,22.973329888601633
276960816,527827073,70,oneway,569.8925596921512
276960821,663041520,70,twoway,10.892607236843704
663041520,276960821,70,twoway,10.892607236843704
276960889,276960750,70,twoway,23.319889163526266
276960750,276960889,70,twoway,23.319889163526266
276960889,9238729776,50,oneway,122.27590000043543
276960894,518081402,70,twoway,18.515457124155976
518081402,276960894,70,twoway,18.515457124155976
276960901,276960894,50,oneway,448.1434552514141
276960901,645296285,default,twoway,64.50879943341066
645296285,276960901,default,twoway,64.50879943341066
281320625,281320631,50,twoway,19.566823599843993
281320631,281320625,50,twoway,19.566823599843993
281320625,1845377164,70,oneway,15.193985087815001
281320629,281320638,50,twoway,14.856312633401142
281320638,281320629,50,twoway,14.856312633401142
281320631,530870449,50,twoway,12.260887871408455
530870449,281320631,50,twoway,12.260887871408455
281320632,281320637,50,twoway,16.779708661902564
281320637,281320632,50,twoway,16.779708661902564
281320635,281320629,70,oneway,19.90078507383101
281320635,1735800732,default,twoway,44.09179464306774
1735800732,281320635,default,twoway,44.09179464306774
281320637,281320629,50,twoway,18.27489830487177
281320629,281320637,50,twoway,18.27489830487177
281320637,1845377185,50,oneway,15.509464757992788
281320638,475548465,50,twoway,17.553498084564538
475548465,281320638,50,twoway,17.553498084564538
281320638,1735800732,default,oneway,15.909722030288608
281329498,1312920363,50,twoway,17.417152877531468
1312920363,281329498,50,twoway,17.417152877531468
281329498,1158595038,50,oneway,123.55947099877658
281329505,491523289,70,oneway,158.12408197794406
282069487,11112412690,110,oneway,89.4673226921922
282069487,1068168940,default,oneway,236.75966907620835
282069491,1118032480,default,oneway,29.65402732492298
282069493,2513747366,default,oneway,31.752114413163653
282069493,6872753033,default,twoway,16.837256685721616
6872753033,282069493,default,twoway,16.837256685721616
282069495,314680252,default,oneway,39.428742339443886
291280317,9139591079,90,oneway,1550.7431055634174
291280321,5043857192,70,oneway,29.01204647235151
291280321,5043857195,default,oneway,55.7567077384672
291287098,355221306,30,oneway,16.550865842415238
291287098,291287100,30,oneway,30.204748437422765
291287100,291287108,30,oneway,92.62398582908195
291287100,457189418,30,oneway,122.20492788841875
291287108,458990793,30,oneway,98.3146533162705
291287122,291287191,30,oneway,11.952534828125332
291287135,291287122,30,oneway,194.3198927976442
291287147,355221297,default,oneway,163.46912093395815
291287147,1030105163,30,oneway,117.84951851573322
291287149,524684875,default,twoway,17.479048899664612
524684875,291287149,default,twoway,17.479048899664612
291287151,291287149,default,twoway,12.622586166329846
291287149,291287151,default,twoway,12.622586166329846
291287151,5043856875,30,oneway,151.99027011174573
291287158,291287151,default,twoway,8.801632857708102
291287151,291287158,default,twoway,8.801632857708102
291287158,1818867945,default,twoway,24.3162676511548
1818867945,291287158,default,twoway,24.3162676511548
291287169,291287158,default,twoway,7.858165699845961
291287158,291287169,default,twoway,7.858165699845961
291287191,1315381844,30,oneway,4.037108136711476
291287191,1315381859,30,oneway,32.31766048527921
295629701,295629710,70,oneway,454.62891445671204
295629701,1033885105,default,oneway,36.263713027997454
295629710,849378719,70,oneway,56.31624789852656
