L1,L2,L3,L4,len1,len2,len3,len4,experiment,perturbation,rayon
1297.7544849029846,554.3064935522078,554.3064935522078,484.50848210136184,99,117,117,110,6,5.0,50
1431.8634301769123,820.224732078165,816.9702506490183,675.1103633505567,119,149,145,126,6,5.0,50
774.7634869058726,617.7614850024022,617.7614850024022,444.58692431890404,83,88,88,77,6,5.0,50
1098.1087076601125,712.3524147996537,712.3524147996537,557.6344070280736,84,94,94,118,6,5.0,50
1262.1675671728135,843.7649174125363,843.5054041834228,693.9114017585941,104,118,116,122,6,5.0,50
1083.742680381233,770.3196354362046,634.3171307878506,633.9744158657819,123,155,128,128,6,5.0,50
949.5421482417437,417.28884394893004,409.3709236566016,354.407204374089,84,106,101,69,6,5.0,50
1501.6447479296776,1068.9158248387275,977.7914426301226,666.3627873290542,120,156,158,122,7,5.0,50
1348.851205389028,782.4134326436043,782.4134326436043,530.5233147234424,85,91,91,89,7,5.0,50
955.9159598373349,788.7086757264865,681.6519128021381,501.5262301823757,83,134,122,100,7,5.0,50
773.2902198304466,585.0714185579462,584.7405308882632,484.8294306608141,105,143,141,121,7,5.0,50
848.3954450646737,737.1742938137342,630.1175308893863,567.6407885986474,111,133,121,115,7,5.0,50
671.9768021577636,597.6487888797337,593.4091735222376,459.349768138385,93,97,96,90,7,5.0,50
1040.8339717097826,960.6965547061691,755.7510360556954,496.2119474625365,83,131,103,88,7,5.0,50
1135.5661048745715,632.9105512985669,632.9105512985669,491.66295832009627,92,109,109,89,7,5.0,50
735.4504862444741,501.1358264572564,411.1202141120192,410.8448433232904,92,97,102,100,7,5.0,50
608.1996362467462,409.9804173239673,508.08246020926396,369.5623878821347,86,83,84,62,7,5.0,50
808.9198732422706,545.7256993037714,545.7256993037714,480.8018304548642,110,132,132,107,8,5.0,50
1148.0464677161294,513.4921322360583,513.4921322360583,432.8323580056995,93,110,110,89,8,5.0,50
873.0702838179261,532.8637439741423,532.8637439741423,532.8637439741423,109,111,111,111,8,5.0,50
1248.1603547897805,919.9242850075951,776.7308216323365,685.5718389832642,106,131,120,105,8,5.0,50
654.3121263761938,534.8565790403039,534.8565790403039,419.0451025963624,100,101,101,99,8,5.0,50
541.6731225779196,464.8931282647252,459.8719360483516,451.2081584677104,88,95,93,89,8,5.0,50
979.6085210005558,770.3734194930729,670.692804378641,565.7706290580181,102,111,116,110,8,5.0,50
676.1654870074858,345.6602094297996,345.6602094297996,327.81936230791194,82,86,86,82,8,5.0,50
805.1068421515984,332.18462472196103,332.18462472196103,332.18462472196103,81,66,66,66,8,5.0,50
771.7578845684762,472.0045016819739,462.1705769265007,420.4724561822293,97,111,105,85,8,5.0,50
842.6384627389502,901.3672460119683,901.3672460119683,661.084571184425,98,111,111,116,9,5.0,50
1160.344864322058,673.2340525266319,673.2340525266319,489.54304245669454,91,97,97,101,9,5.0,50
886.3230225731295,624.6198321138263,617.8863018643825,407.51128616810365,82,103,99,62,9,5.0,50
794.1911763817943,655.9647843088597,588.8890450572324,469.2837177435401,87,109,115,90,9,5.0,50
889.6510965026208,661.9731441076859,661.9731441076859,547.4215040666545,86,91,91,118,9,5.0,50
1351.0003451511882,965.4282002100821,965.4282002100821,569.5518709713368,96,108,108,113,9,5.0,50
730.4901762315824,517.4710158587487,517.4710158587487,498.5269204127267,109,114,114,99,9,5.0,50
1162.8564818417594,859.7681149573052,847.2194702751572,683.640481100002,83,170,164,150,9,5.0,50
743.4157505425221,522.0787464271172,522.0787464271172,402.8287379081966,82,87,87,102,9,5.0,50
1016.1079084590366,858.5594230041684,791.4836837525411,583.6787719340077,94,100,106,92,9,5.0,50
1192.4001622715914,641.3005584256069,636.0761168816833,421.52798374856184,83,97,95,89,0,5.0,100
882.0030089042732,851.6916401020544,560.493997665169,460.8041367521178,81,104,108,92,0,5.0,100
1013.4878095609813,583.4875874373092,475.7551379969039,458.41477515042055,85,103,100,96,0,5.0,100
981.9951412975057,599.8960422958174,599.8960422958174,432.8254752437063,81,77,77,101,0,5.0,100
988.8918715944726,772.3159836231896,755.1409142284107,523.8152131691154,91,84,78,87,0,5.0,100
881.8324002099678,593.8308140750327,593.8308140750327,482.0182948127691,90,115,115,104,0,5.0,100
1033.4870651606138,626.1206370624501,624.8509270151164,599.095753256572,94,102,100,101,0,5.0,100
1259.7389863235787,716.2311836011509,661.3102721826709,447.71462319289094,88,100,92,81,0,5.0,100
981.3973556162481,574.4115538725792,564.977128788884,546.0030879896334,91,104,100,95,0,5.0,100
570.9688236638583,347.195601885112,339.1293863658862,334.7433948556665,81,88,83,81,0,5.0,100
1502.1091421851772,939.8630072330511,600.3951145730725,497.2912148519976,103,123,101,82,1,5.0,100
1355.9573190414173,889.4600702758207,928.1936713352939,634.3800408913904,92,110,142,87,1,5.0,100
762.0641890646217,704.5053414373164,695.8465905595586,553.2582357684867,105,115,113,96,1,5.0,100
1617.0471662585187,691.0763286790432,691.0763286790432,571.5124866667765,87,119,119,107,1,5.0,100
654.0953721116413,654.0953721116413,654.0953721116413,565.6682212758009,118,118,118,134,1,5.0,100
1064.9749783943344,711.9958411138765,614.2895852426968,515.5798366266004,97,115,122,110,1,5.0,100
816.5607628661584,749.7641805165529,551.5498888335579,463.72929965337863,86,104,103,77,1,5.0,100
706.4236102076129,491.3250665538016,486.9880198743561,485.1169095143634,83,92,90,90,1,5.0,100
680.2995018136712,517.6764160368556,472.27027810871067,453.0723244042938,84,98,87,85,1,5.0,100
1013.1380678100018,679.8802882784063,669.7878266869394,606.5833222538727,82,92,86,114,1,5.0,100
989.3956123187397,545.4093118893543,542.1113027027303,427.73744839866924,83,102,101,77,2,5.0,100
1077.7636526552235,886.5088230956036,868.4764369162477,687.0142067746523,112,118,108,123,2,5.0,100
1160.4762299167562,628.9701589879617,685.675873178109,544.8886757967169,81,121,119,118,2,5.0,100
849.6963559707818,736.9362782649057,618.7534350338872,550.821418183341,95,106,103,101,2,5.0,100
1203.8039473526467,622.9907715866916,818.6720089885923,535.3573424398799,108,136,161,107,2,5.0,100
616.1706441907023,555.6051127551924,506.7980171636932,424.78982471732434,95,114,104,89,2,5.0,100
971.6151486597952,433.84680108546854,433.56809359146894,414.22612483814356,83,92,92,102,2,5.0,100
619.0709966615884,486.1213380598097,479.6333886112523,456.1606455460216,80,97,93,98,2,5.0,100
771.5876921306166,856.8013133185045,675.9177168553482,517.732542193809,90,122,109,97,2,5.0,100
863.0435019425529,632.7339610115287,620.6584900516625,538.6502976052936,117,129,127,112,2,5.0,100
1749.1001638765117,1088.39839096973,1067.7655245240871,832.0422791100109,133,145,135,153,3,5.0,100
532.0787638198409,532.0787638198409,532.0787638198409,532.0787638198409,94,94,94,94,3,5.0,100
1227.8800086125116,512.6794514854182,460.83496044397026,424.6053457715704,93,96,99,100,3,5.0,100
858.1972389850694,640.328986421626,617.4947925376574,505.7854564778672,92,113,109,95,3,5.0,100
686.802159531591,448.53292770002787,448.53292770002787,448.53292770002787,102,111,111,111,3,5.0,100
647.6183620119027,419.7516761784043,409.6938046517631,408.93340597656345,90,98,94,90,3,5.0,100
800.7107474239307,419.49738252682954,378.6131734079366,378.6131734079366,81,91,80,80,3,5.0,100
1079.213195668462,571.8307113566758,515.1571566967943,416.8960696476117,83,85,102,85,3,5.0,100
729.3604928265389,611.2389383274198,609.9172632979313,609.9172632979313,99,100,98,98,3,5.0,100
