L1,L2,L3,L4,len1,len2,len3,len4,experiment,perturbation,rayon
438.31162503106356,438.31162503106356,438.31162503106356,438.31162503106356,107,107,107,107,1,0.0,0
417.3164348096697,417.3164348096697,417.3164348096697,417.3164348096697,98,98,98,98,1,0.0,0
448.07436958525426,448.07436958525426,448.07436958525426,448.07436958525426,60,60,60,60,1,0.0,0
344.761748487527,344.761748487527,344.761748487527,344.761748487527,74,74,74,74,1,0.0,0
237.82174957692473,237.82174957692473,237.82174957692473,237.82174957692473,86,86,86,86,1,0.0,0
125.31043791551159,125.31043791551159,125.31043791551159,125.31043791551159,34,34,34,34,2,0.0,0
476.13126221401905,476.13126221401905,476.13126221401905,476.13126221401905,53,53,53,53,2,0.0,0
406.28516897990704,406.28516897990704,406.28516897990704,406.28516897990704,120,120,120,120,2,0.0,0
394.66768775847686,394.66768775847686,394.66768775847686,394.66768775847686,111,111,111,111,2,0.0,0
322.09978060922475,322.09978060922475,322.09978060922475,322.09978060922475,33,33,33,33,2,0.0,0
288.04288755976535,288.04288755976535,288.04288755976535,288.04288755976535,91,91,91,91,2,0.0,0
803.4644070346487,803.4644070346487,803.4644070346487,803.4644070346487,117,117,117,117,2,0.0,0
67.88827412630988,67.88827412630988,67.88827412630988,67.88827412630988,20,20,20,20,2,0.0,0
590.7117647057273,590.7117647057273,590.7117647057273,590.7117647057273,177,177,177,177,2,0.0,0
369.3778429236498,369.3778429236498,369.3778429236498,369.3778429236498,64,64,64,64,2,0.0,0
529.8303668732768,529.8303668732768,529.8303668732768,529.8303668732768,69,69,69,69,2,0.0,0
384.49574395283383,384.49574395283383,384.49574395283383,384.49574395283383,100,100,100,100,2,0.0,0
540.5471539556305,540.5471539556305,540.5471539556305,540.5471539556305,130,130,130,130,2,0.0,0
369.8830507341233,369.8830507341233,369.8830507341233,369.8830507341233,101,101,101,101,2,0.0,0
364.63395706451814,364.63395706451814,364.63395706451814,364.63395706451814,96,96,96,96,2,0.0,0
547.5575855376696,547.5575855376696,547.5575855376696,547.5575855376696,104,104,104,104,2,0.0,0
197.00246397559326,197.00246397559326,197.00246397559326,197.00246397559326,39,39,39,39,2,0.0,0
350.38386820482634,350.38386820482634,350.38386820482634,350.38386820482634,35,35,35,35,2,0.0,0
713.7061795179087,713.7061795179087,713.7061795179087,713.7061795179087,76,76,76,76,2,0.0,0
465.1490092168571,465.1490092168571,465.1490092168571,465.1490092168571,38,38,38,38,2,0.0,0
198.28884607976445,198.28884607976445,198.28884607976445,198.28884607976445,29,29,29,29,2,0.0,0
355.2488325183626,355.2488325183626,355.2488325183626,355.2488325183626,52,52,52,52,2,0.0,0
343.79851445264757,343.79851445264757,343.79851445264757,343.79851445264757,70,70,70,70,2,0.0,0
169.9920537265503,169.9920537265503,169.9920537265503,169.9920537265503,28,28,28,28,2,0.0,0
360.2513936137848,360.2513936137848,360.2513936137848,360.2513936137848,92,92,92,92,2,0.0,0
508.4259877458892,508.4259877458892,508.4259877458892,508.4259877458892,81,81,81,81,3,0.0,0
492.1721339186396,492.1721339186396,492.1721339186396,492.1721339186396,86,86,86,86,3,0.0,0
618.4724512919109,618.4724512919109,618.4724512919109,618.4724512919109,39,39,39,39,3,0.0,0
440.1063469246953,440.1063469246953,440.1063469246953,440.1063469246953,61,61,61,61,3,0.0,0
333.320999392705,333.320999392705,333.320999392705,333.320999392705,41,41,41,41,3,0.0,0
474.2697725911238,474.2697725911238,474.2697725911238,474.2697725911238,61,61,61,61,3,0.0,0
224.4981705279357,224.4981705279357,224.4981705279357,224.4981705279357,55,55,55,55,3,0.0,0
502.0941701014101,502.0941701014101,502.0941701014101,502.0941701014101,67,67,67,67,3,0.0,0
407.12670730078986,407.12670730078986,407.12670730078986,407.12670730078986,65,65,65,65,3,0.0,0
548.1911138409721,548.1911138409721,548.1911138409721,548.1911138409721,133,133,133,133,3,0.0,0
339.86653619234045,339.86653619234045,339.86653619234045,339.86653619234045,81,81,81,81,3,0.0,0
216.310411666887,216.310411666887,216.310411666887,216.310411666887,41,41,41,41,3,0.0,0
548.80165723167,548.80165723167,548.80165723167,548.80165723167,131,131,131,131,3,0.0,0
484.3270511488623,484.3270511488623,484.3270511488623,484.3270511488623,125,125,125,125,3,0.0,0
342.6160765845912,342.6160765845912,342.6160765845912,342.6160765845912,45,45,45,45,3,0.0,0
235.37380092161393,235.37380092161393,235.37380092161393,235.37380092161393,57,57,57,57,3,0.0,0
483.61096284454413,483.61096284454413,483.61096284454413,483.61096284454413,109,109,109,109,3,0.0,0
267.08252274460335,267.08252274460335,267.08252274460335,267.08252274460335,71,71,71,71,3,0.0,0
543.3334614022917,543.3334614022917,543.3334614022917,543.3334614022917,141,141,141,141,3,0.0,0
285.6449763554417,285.6449763554417,285.6449763554417,285.6449763554417,46,46,46,46,3,0.0,0
198.63360463535798,198.63360463535798,198.63360463535798,198.63360463535798,57,57,57,57,3,0.0,0
775.0278245365741,775.0278245365741,775.0278245365741,775.0278245365741,104,104,104,104,3,0.0,0
74.31163908534772,74.31163908534772,74.31163908534772,74.31163908534772,22,22,22,22,3,0.0,0
710.2816943752005,710.2816943752005,710.2816943752005,710.2816943752005,77,77,77,77,3,0.0,0
158.05701662029884,158.05701662029884,158.05701662029884,158.05701662029884,33,33,33,33,3,0.0,0
168.0503631952201,168.0503631952201,168.0503631952201,168.0503631952201,45,45,45,45,4,0.0,0
280.9234124374084,280.9234124374084,280.9234124374084,280.9234124374084,57,57,57,57,4,0.0,0
190.46596851481033,190.46596851481033,190.46596851481033,190.46596851481033,57,57,57,57,4,0.0,0
534.1845249047562,534.1845249047562,534.1845249047562,534.1845249047562,42,42,42,42,4,0.0,0
568.6039825374475,568.6039825374475,568.6039825374475,568.6039825374475,64,64,64,64,4,0.0,0
370.3750250387321,370.3750250387321,370.3750250387321,370.3750250387321,139,139,139,139,4,0.0,0
615.2786448871901,615.2786448871901,615.2786448871901,615.2786448871901,147,147,147,147,4,0.0,0
579.2185886632386,579.2185886632386,579.2185886632386,579.2185886632386,70,70,70,70,4,0.0,0
486.18018004381884,486.18018004381884,486.18018004381884,486.18018004381884,58,58,58,58,4,0.0,0
605.9775548843845,605.9775548843845,605.9775548843845,605.9775548843845,158,158,158,158,4,0.0,0
222.05740882077814,222.05740882077814,222.05740882077814,222.05740882077814,37,37,37,37,4,0.0,0
83.28408572347344,83.28408572347344,83.28408572347344,83.28408572347344,35,35,35,35,4,0.0,0
522.9147532432519,522.9147532432519,522.9147532432519,522.9147532432519,132,132,132,132,4,0.0,0
428.75266148710926,428.75266148710926,428.75266148710926,428.75266148710926,57,57,57,57,4,0.0,0
301.4589379462814,301.4589379462814,301.4589379462814,301.4589379462814,36,36,36,36,4,0.0,0
232.72063509184187,232.72063509184187,232.72063509184187,232.72063509184187,55,55,55,55,4,0.0,0
91.68345156714722,91.68345156714722,91.68345156714722,91.68345156714722,30,30,30,30,4,0.0,0
287.7336725257698,287.7336725257698,287.7336725257698,287.7336725257698,73,73,73,73,4,0.0,0
574.8208775157541,574.8208775157541,574.8208775157541,574.8208775157541,66,66,66,66,4,0.0,0
366.18442170725666,366.18442170725666,366.18442170725666,366.18442170725666,78,78,78,78,4,0.0,0
311.8789451570807,311.8789451570807,311.8789451570807,311.8789451570807,92,92,92,92,4,0.0,0
481.5258813428945,481.5258813428945,481.5258813428945,481.5258813428945,39,39,39,39,4,0.0,0
270.7778325792053,270.7778325792053,270.7778325792053,270.7778325792053,68,68,68,68,4,0.0,0
133.3400217082489,133.3400217082489,133.3400217082489,133.3400217082489,21,21,21,21,4,0.0,0
530.2555138956575,530.2555138956575,530.2555138956575,530.2555138956575,104,104,104,104,4,0.0,0
489.487767089152,489.487767089152,489.487767089152,489.487767089152,93,93,93,93,5,0.0,0
253.20974070185696,253.20974070185696,253.20974070185696,253.20974070185696,68,68,68,68,5,0.0,0
429.3365181715327,429.3365181715327,429.3365181715327,429.3365181715327,100,100,100,100,5,0.0,0
190.63511151121114,190.63511151121114,190.63511151121114,190.63511151121114,46,46,46,46,5,0.0,0
395.37692328727803,395.37692328727803,395.37692328727803,395.37692328727803,98,98,98,98,5,0.0,0
447.4916470203186,447.4916470203186,447.4916470203186,447.4916470203186,119,119,119,119,5,0.0,0
584.5877310852389,584.5877310852389,584.5877310852389,584.5877310852389,77,77,77,77,5,0.0,0
347.84167351778854,347.84167351778854,347.84167351778854,347.84167351778854,71,71,71,71,5,0.0,0
473.02501802166677,473.02501802166677,473.02501802166677,473.02501802166677,73,73,73,73,5,0.0,0
153.45860284854874,153.45860284854874,153.45860284854874,153.45860284854874,44,44,44,44,5,0.0,0
456.9067069152284,456.9067069152284,456.9067069152284,456.9067069152284,128,128,128,128,5,0.0,0
259.42980486703766,259.42980486703766,259.42980486703766,259.42980486703766,46,46,46,46,5,0.0,0
544.3791029262113,544.3791029262113,544.3791029262113,544.3791029262113,43,43,43,43,5,0.0,0
517.6789676495006,517.6789676495006,517.6789676495006,517.6789676495006,139,139,139,139,5,0.0,0
464.63184328261497,464.63184328261497,464.63184328261497,464.63184328261497,48,48,48,48,5,0.0,0
431.42945037149286,431.42945037149286,431.42945037149286,431.42945037149286,128,128,128,128,5,0.0,0
220.31159199798077,220.31159199798077,220.31159199798077,220.31159199798077,78,78,78,78,5,0.0,0
658.3224824554001,658.3224824554001,658.3224824554001,658.3224824554001,65,65,65,65,5,0.0,0
336.2378717118995,336.2378717118995,336.2378717118995,336.2378717118995,42,42,42,42,5,0.0,0
629.1075496735941,629.1075496735941,629.1075496735941,629.1075496735941,78,78,78,78,5,0.0,0
417.14300509892377,417.14300509892377,417.14300509892377,417.14300509892377,43,43,43,43,5,0.0,0
389.48195639337143,389.48195639337143,389.48195639337143,389.48195639337143,97,97,97,97,5,0.0,0
320.1997079837666,320.1997079837666,320.1997079837666,320.1997079837666,72,72,72,72,5,0.0,0
418.38245233869,418.38245233869,418.38245233869,418.38245233869,83,83,83,83,5,0.0,0
708.8526148354704,708.8526148354704,708.8526148354704,708.8526148354704,70,70,70,70,5,0.0,0
546.3019386100369,546.3019386100369,546.3019386100369,546.3019386100369,79,79,79,79,6,0.0,0
254.07967288082554,254.07967288082554,254.07967288082554,254.07967288082554,59,59,59,59,6,0.0,0
179.12262366727478,179.12262366727478,179.12262366727478,179.12262366727478,34,34,34,34,6,0.0,0
148.17165647419904,148.17165647419904,148.17165647419904,148.17165647419904,38,38,38,38,6,0.0,0
425.5919171569722,425.5919171569722,425.5919171569722,425.5919171569722,67,67,67,67,6,0.0,0
398.10904248398924,398.10904248398924,398.10904248398924,398.10904248398924,87,87,87,87,6,0.0,0
459.97436717838184,459.97436717838184,459.97436717838184,459.97436717838184,87,87,87,87,6,0.0,0
267.60626358790137,267.60626358790137,267.60626358790137,267.60626358790137,73,73,73,73,6,0.0,0
158.4063433616726,158.4063433616726,158.4063433616726,158.4063433616726,39,39,39,39,6,0.0,0
216.53635191797952,216.53635191797952,216.53635191797952,216.53635191797952,53,53,53,53,6,0.0,0
553.4010514988787,553.4010514988787,553.4010514988787,553.4010514988787,157,157,157,157,6,0.0,0
171.8436170620636,171.8436170620636,171.8436170620636,171.8436170620636,45,45,45,45,6,0.0,0
499.8838386849777,499.8838386849777,499.8838386849777,499.8838386849777,123,123,123,123,6,0.0,0
432.23580509773916,432.23580509773916,432.23580509773916,432.23580509773916,71,71,71,71,6,0.0,0
561.3352302253264,561.3352302253264,561.3352302253264,561.3352302253264,107,107,107,107,6,0.0,0
469.5724686080616,469.5724686080616,469.5724686080616,469.5724686080616,74,74,74,74,6,0.0,0
302.12186953203286,302.12186953203286,302.12186953203286,302.12186953203286,56,56,56,56,6,0.0,0
479.7999289921308,479.7999289921308,479.7999289921308,479.7999289921308,161,161,161,161,6,0.0,0
280.17604369160836,280.17604369160836,280.17604369160836,280.17604369160836,57,57,57,57,6,0.0,0
117.71961576467088,117.71961576467088,117.71961576467088,117.71961576467088,28,28,28,28,6,0.0,0
378.6743915945583,378.6743915945583,378.6743915945583,378.6743915945583,104,104,104,104,6,0.0,0
198.27391217103835,198.27391217103835,198.27391217103835,198.27391217103835,62,62,62,62,6,0.0,0
688.9335631515343,688.9335631515343,688.9335631515343,688.9335631515343,70,70,70,70,6,0.0,0
217.22258706635816,217.22258706635816,217.22258706635816,217.22258706635816,49,49,49,49,6,0.0,0
296.1360724111848,296.1360724111848,296.1360724111848,296.1360724111848,55,55,55,55,6,0.0,0
185.98721575336782,185.98721575336782,185.98721575336782,185.98721575336782,36,36,36,36,7,0.0,0
506.3618064638661,506.3618064638661,506.3618064638661,506.3618064638661,63,63,63,63,7,0.0,0
478.2160881510218,478.2160881510218,478.2160881510218,478.2160881510218,65,65,65,65,7,0.0,0
119.44781348485141,119.44781348485141,119.44781348485141,119.44781348485141,50,50,50,50,7,0.0,0
763.9459884704127,763.9459884704127,763.9459884704127,763.9459884704127,99,99,99,99,7,0.0,0
302.70495833222645,302.70495833222645,302.70495833222645,302.70495833222645,76,76,76,76,7,0.0,0
271.1999556238099,271.1999556238099,271.1999556238099,271.1999556238099,77,77,77,77,7,0.0,0
